Homolog, Bit Score
1, 42.4
1, 45.4
1, 108.3
1, 45.5
1, 130.8
1, 44.9
1, 93.0
1, 46.7
1, 109.0
1, 23.1
1, 112.5
1, 51.6
1, 114.7
1, 48.1
1, 51.0
1, 20.1
1, 61.1
1, 20.6
1, 57.6
1, 20.5
1, 56.7
1, 20.4
1, 51.7
1, 20.3
1, 57.5
1, 19.5
1, 58.1
1, 20.1
1, 25.7
1, 42.6
1, 43.0
1, 38.4
1, 38.7
1, 41.6
1, 30.8
1, 27.6
1, 39.0
1, 36.5
1, 24.4
1, 38.9
1, 40.3
1, 25.5
1, 26.1
1, 41.5
1, 34.0
1, 24.1
1, 38.7
1, 37.6
1, 28.4
1, 23.1
1, 29.7
1, 23.4
1, 32.2
1, 22.7
1, 32.8
1, 21.5
1, 38.7
1, 72.4
1, 69.8
1, 77.4
1, 37.7
1, 25.4
1, 58.7
1, 25.1
1, 22.6
1, 51.3
1, 23.0
1, 23.1
1, 51.3
1, 36.9
1, 26.0
1, 69.4
1, 51.8
1, 48.3
1, 52.0
1, 70.8
1, 26.6
1, 26.1
1, 100.6
1, 58.5
1, 25.1
1, 25.4
1, 23.2
1, 41.6
1, 30.7
1, 28.8
1, 29.4
1, 61.7
1, 23.4
1, 23.0
1, 48.6
1, 23.9
1, 23.8
1, 50.3
1, 27.4
1, 23.3
1, 26.7
1, 41.0
1, 55.5
1, 45.1
1, 68.7
1, 25.5
1, 35.9
1, 100.2
1, 57.1
1, 25.4
1, 22.6
1, 44.4
1, 45.0
1, 34.1
1, 110.0
1, 113.6
1, 95.0
1, 49.5
1, 24.4
1, 107.5
1, 42.2
1, 104.6
1, 96.4
1, 49.5
1, 23.8
1, 133.9
1, 42.5
1, 96.8
1, 95.1
1, 48.7
1, 23.7
1, 118.5
1, 46.4
1, 105.9
1, 98.4
1, 50.3
1, 26.2
1, 113.2
1, 44.0
1, 106.5
1, 105.4
1, 48.0
1, 24.4
1, 125.1
1, 46.1
1, 110.5
1, 92.2
1, 45.0
1, 24.9
1, 110.4
1, 38.3
1, 97.7
1, 103.3
1, 48.2
1, 25.1
1, 121.9
1, 42.2
1, 24.4
1, 69.5
1, 77.5
1, 26.5
1, 201.7
1, 25.6
1, 114.0
1, 24.3
1, 25.0
1, 188.7
1, 20.9
1, 92.1
1, 24.6
1, 219.1
1, 20.8
1, 227.6
1, 23.8
1, 25.2
1, 45.3
1, 27.4
1, 80.1
1, 27.2
1, 114.5
1, 28.6
1, 24.9
1, 82.5
1, 21.0
1, 92.7
1, 24.8
1, 109.0
1, 23.3
1, 163.7
1, 24.8
1, 49.6
1, 50.1
1, 26.7
1, 157.4
1, 28.2
1, 112.2
1, 42.1
1, 31.2
1, 226.4
1, 22.6
1, 128.8
1, 38.8
1, 259.0
1, 24.6
1, 132.7
1, 32.5
1, 28.7
1, 54.9
1, 41.7
1, 257.1
1, 30.1
1, 101.4
1, 46.4
1, 26.2
1, 196.9
1, 23.8
1, 52.3
1, 32.2
1, 289.8
1, 23.3
1, 183.2
1, 31.6
1, 29.5
1, 49.7
1, 27.1
1, 178.3
1, 32.8
1, 105.3
1, 45.2
1, 30.9
1, 236.0
1, 23.5
1, 103.4
1, 38.2
1, 238.4
1, 24.9
1, 128.6
1, 29.6
1, 24.9
1, 50.0
1, 26.9
1, 203.8
1, 27.2
1, 109.4
1, 46.2
1, 30.9
1, 236.9
1, 23.0
1, 111.3
1, 34.6
1, 260.2
1, 24.1
1, 133.3
1, 25.3
1, 28.6
1, 45.3
1, 40.0
1, 198.3
1, 30.2
1, 103.6
1, 26.9
1, 26.1
1, 86.5
1, 26.4
1, 113.0
1, 36.6
1, 250.8
1, 29.1
1, 137.6
1, 33.3
1, 25.7
1, 51.7
1, 25.2
1, 59.5
1, 24.0
1, 60.9
1, 24.4
1, 83.4
1, 23.7
1, 59.6
1, 25.9
1, 57.8
1, 27.3
1, 24.8
1, 25.7
1, 87.7
1, 28.5
1, 79.9
1, 24.3
1, 66.6
1, 27.6
1, 24.6
1, 26.1
1, 38.8
1, 43.8
1, 42.8
1, 28.2
1, 43.0
1, 22.5
1, 29.7
1, 32.0
1, 48.3
1, 26.2
1, 29.0
1, 44.7
1, 23.0
1, 62.6
1, 27.7
1, 54.9
1, 23.3
1, 24.8
1, 25.6
1, 26.2
1, 27.4
1, 24.7
1, 60.7
1, 23.9
1, 24.5
1, 31.6
1, 22.7
1, 28.2
1, 25.4
1, 49.3
1, 24.4
1, 27.7
1, 28.1
1, 22.9
1, 22.4
1, 25.8
1, 54.1
1, 24.5
1, 24.1
1, 25.7
1, 26.7
1, 23.0
1, 17.6
1, 92.7
1, 25.4
1, 115.0
1, 25.5
1, 145.2
1, 22.8
1, 138.6
1, 29.1
1, 118.6
1, 82.2
1, 26.4
1, 44.6
1, 42.6
1, 31.8
1, 43.9
1, 45.3
1, 42.4
1, 39.9
1, 31.5
1, 55.4
1, 39.0
1, 44.2
1, 50.9
1, 44.3
1, 48.2
1, 50.2
1, 41.5
1, 38.2
1, 33.4
1, 62.7
1, 25.3
1, 44.1
1, 45.6
1, 42.6
1, 41.5
1, 57.2
1, 42.7
1, 40.3
1, 35.7
1, 54.5
1, 38.7
1, 47.3
1, 52.1
1, 41.8
1, 49.3
1, 50.0
1, 40.2
1, 39.2
1, 33.3
1, 59.3
1, 94.1
1, 29.8
1, 45.5
1, 44.7
1, 27.3
1, 25.7
1, 287.6
1, 40.1
1, 52.5
1, 45.6
1, 56.7
1, 23.2
1, 38.3
1, 38.0
1, 47.3
1, 47.7
1, 48.1
1, 41.0
1, 48.8
1, 26.9
1, 36.5
1, 35.0
1, 54.2
1, 33.6
1, 44.3
1, 39.4
1, 53.9
1, 41.9
1, 19.5
1, 48.4
1, 25.2
1, 55.8
1, 36.9
1, 54.9
1, 36.4
1, 66.3
1, 38.5
1, 58.4
1, 39.9
1, 52.8
1, 33.3
1, 100.2
1, 38.9
1, 38.2
1, 35.7
1, 107.1
1, 34.4
1, 39.3
1, 29.8
1, 56.4
1, 192.8
1, 50.3
1, 134.5
1, 48.1
1, 188.2
1, 47.4
1, 167.7
1, 52.7
1, 158.5
1, 53.3
1, 175.4
1, 56.1
1, 179.0
1, 63.0
1, 175.0
1, 47.5
1, 126.2
1, 64.8
1, 40.4
1, 56.7
1, 24.1
1, 51.1
1, 26.1
1, 49.4
1, 20.6
1, 25.3
1, 87.9
1, 157.9
1, 96.6
1, 156.0
1, 80.8
1, 165.2
1, 82.2
1, 151.4
1, 23.5
1, 23.0
1, 156.6
1, 21.9
1, 23.9
1, 36.9
1, 171.4
1, 56.7
1, 25.0
1, 138.3
1, 22.0
1, 30.5
1, 46.1
1, 166.3
1, 64.5
1, 23.9
1, 169.6
1, 23.5
1, 26.7
1, 45.7
1, 178.7
1, 62.4
1, 23.3
1, 162.0
1, 22.1
1, 29.4
1, 45.6
1, 154.0
1, 66.7
1, 23.6
1, 147.6
1, 23.9
1, 27.4
1, 42.0
1, 194.5
1, 58.6
1, 39.3
1, 22.1
1, 67.0
1, 23.2
1, 42.3
1, 53.0
1, 63.1
1, 27.1
1, 22.1
1, 68.7
1, 44.4
1, 49.9
1, 62.8
1, 26.6
1, 21.8
1, 74.3
1, 172.8
1, 20.5
1, 56.1
1, 20.8
1, 54.4
1, 20.5
1, 58.9
1, 27.5
1, 144.9
1, 25.1
1, 37.1
1, 23.4
1, 35.0
1, 141.3
1, 26.4
1, 31.3
1, 21.4
1, 34.1
1, 158.0
1, 33.4
1, 39.6
1, 21.2
1, 37.4
1, 163.4
1, 28.3
1, 31.1
1, 21.7
1, 35.9
1, 22.3
1, 83.8
1, 52.0
1, 64.7
1, 52.9
1, 54.6
1, 51.1
1, 57.3
1, 47.8
1, 50.9
1, 50.7
1, 56.9
