Homolog, Bit Score
1, 67.4
1, 15.9
1, 16.9
1, 79.5
1, 132.7
1, 15.2
1, 163.8
1, 15.7
1, 24.1
1, 25.0
1, 48.9
1, 67.5
1, 22.9
1, 74.2
1, 27.4
1, 142.6
1, 76.5
1, 33.6
1, 151.2
1, 37.8
1, 157.4
1, 66.1
1, 20.2
1, 122.1
1, 33.0
1, 144.1
1, 90.4
1, 74.0
1, 85.8
1, 77.4
1, 32.7
1, 132.7
1, 17.2
1, 34.8
1, 128.6
1, 35.1
1, 19.1
1, 33.0
1, 19.5
1, 20.8
1, 18.7
1, 20.2
1, 19.8
1, 19.0
1, 22.6
1, 159.8
1, 20.0
1, 23.7
1, 18.4
1, 18.9
1, 18.2
1, 220.0
1, 204.8
1, 241.3
1, 208.5
1, 195.2
1, 212.0
1, 247.6
1, 150.7
1, 181.9
1, 197.6
1, 181.3
1, 175.3
1, 413.0
1, 470.9
1, 242.8
1, 161.2
1, 191.8
1, 208.5
1, 191.5
1, 200.9
1, 214.9
1, 264.4
1, 137.3
1, 144.4
1, 439.8
1, 208.2
1, 213.9
1, 247.8
1, 153.3
1, 172.1
1, 192.1
1, 211.2
1, 231.8
1, 124.7
1, 157.7
1, 611.3
1, 201.6
1, 167.1
1, 191.8
1, 214.9
1, 178.4
1, 173.5
1, 179.0
1, 180.5
1, 93.1
1, 207.7
1, 180.7
1, 314.3
1, 60.5
1, 52.2
1, 88.9
1, 58.1
1, 35.4
1, 22.7
1, 90.4
1, 73.4
1, 15.8
1, 17.1
1, 96.7
1, 38.3
1, 39.9
1, 105.2
1, 80.2
1, 76.5
1, 70.0
1, 60.9
1, 79.6
1, 52.0
1, 46.5
1, 41.9
1, 76.8
1, 76.3
1, 28.5
1, 27.6
1, 73.7
1, 56.8
1, 45.3
1, 79.1
1, 39.5
1, 73.6
1, 87.3
1, 74.1
1, 37.1
1, 51.1
1, 44.0
1, 77.8
1, 79.6
1, 22.8
1, 22.3
1, 73.6
1, 32.7
1, 49.2
1, 77.4
1, 94.3
1, 72.0
1, 51.0
1, 71.8
1, 42.2
1, 51.2
1, 129.1
1, 86.9
1, 28.8
1, 22.7
1, 126.7
1, 55.2
1, 43.9
1, 125.2
1, 86.1
1, 118.6
1, 42.5
1, 35.8
1, 48.5
1, 76.9
1, 44.0
1, 23.3
1, 24.6
1, 76.9
1, 44.5
1, 37.0
1, 79.7
1, 55.9
1, 41.6
1, 37.1
1, 50.7
1, 70.7
1, 61.7
1, 20.2
1, 23.8
1, 50.1
1, 50.0
1, 47.3
1, 69.1
1, 48.3
1, 67.5
1, 53.8
1, 62.8
1, 30.6
1, 28.0
1, 27.6
1, 59.7
1, 107.3
1, 48.3
1, 62.0
1, 28.4
1, 57.3
1, 24.7
1, 100.7
1, 31.3
1, 31.0
1, 140.2
1, 65.0
1, 64.8
1, 151.7
1, 90.3
1, 118.5
1, 80.3
1, 28.7
1, 28.2
1, 94.3
1, 60.1
1, 63.9
1, 100.3
1, 80.5
1, 112.5
1, 75.0
1, 134.4
1, 27.7
1, 33.0
1, 22.4
1, 30.1
1, 28.5
1, 31.8
1, 33.4
1, 31.5
1, 30.7
1, 17.6
1, 32.3
1, 28.7
1, 40.8
1, 32.5
1, 61.1
1, 62.6
1, 135.3
1, 83.1
1, 128.5
1, 71.3
1, 45.7
1, 61.3
1, 49.7
1, 58.2
1, 51.2
1, 63.8
1, 52.1
1, 51.1
1, 40.9
1, 79.3
1, 128.5
1, 78.8
1, 87.0
1, 42.6
1, 80.3
1, 92.2
1, 125.9
1, 207.8
1, 122.7
1, 119.7
1, 131.3
1, 108.9
1, 142.7
1, 263.9
1, 250.9
1, 111.4
1, 111.2
1, 232.0
1, 108.9
1, 136.8
1, 219.1
1, 110.1
1, 135.4
1, 123.4
1, 142.1
1, 129.2
1, 120.0
1, 210.8
1, 126.7
1, 113.0
1, 106.8
1, 107.3
1, 108.0
1, 101.0
1, 108.6
1, 121.8
1, 113.6
1, 104.9
1, 143.5
1, 141.3
1, 164.7
1, 157.2
1, 118.0
1, 162.3
1, 134.3
1, 134.7
1, 130.6
1, 110.4
1, 139.2
1, 113.6
1, 150.6
1, 133.4
1, 97.9
1, 146.3
1, 142.9
1, 136.9
1, 106.9
1, 158.9
1, 244.3
1, 266.8
1, 105.2
